CH No,Name,Frequency,Dup,Offset,Tone,Repeater Tone,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip
70,D52630 D73: Data 52.63,52.63,,0,,88.5Hz,88.5,23,NN,FM,5,
71,D52650 D74: Data 52.65,52.65,,0,,88.5Hz,88.5,23,NN,FM,5,
72,D52670 D75: Data 52.67,52.67,,0,,88.5Hz,88.5,23,NN,FM,5,
73,D52690 D76: Data 52.69,52.69,,0,,88.5Hz,88.5,23,NN,FM,5,
74,D52710 D77: Data 52.71,52.71,,0,,88.5Hz,88.5,23,NN,FM,5,
75,D52730 D78: Data 52.73,52.73,,0,,88.5Hz,88.5,23,NN,FM,5,
76,D52750 D79: Data 52.75,52.75,,0,,88.5Hz,88.5,23,NN,FM,5,
77,D52770 D80: Data 52.77,52.77,,0,,88.5Hz,88.5,23,NN,FM,5,
78,D52790 D81: Data 52.79,52.79,,0,,88.5Hz,88.5,23,NN,FM,5,
79,223400 D82: Data 223.40,223.4,,0,,88.5Hz,88.5,23,NN,FM,5,
80,223420 D83: Data 223.42,223.42,,0,,88.5Hz,88.5,23,NN,FM,5,
81,223440 D84: Data 223.44,223.44,,0,,88.5Hz,88.5,23,NN,FM,5,
82,223460 D85: Data 223.46,223.46,,0,,88.5Hz,88.5,23,NN,FM,5,
83,223480 D86: Data 223.48,223.48,,0,,88.5Hz,88.5,23,NN,FM,5,
84,223570 D87: Data 223.57,223.57,,0,,88.5Hz,88.5,23,NN,FM,5,
85,223590 D88: Data 223.59,223.59,,0,,88.5Hz,88.5,23,NN,FM,5,
86,223610 D89: Data 223.61,223.61,,0,,88.5Hz,88.5,23,NN,FM,5,
87,223630 D90: Data 223.63,223.63,,0,,88.5Hz,88.5,23,NN,FM,5,
88,223650 D91: Data 223.65,223.65,,0,,88.5Hz,88.5,23,NN,FM,5,
89,223670 D92: Data 223.67,223.67,,0,,88.5Hz,88.5,23,NN,FM,5,
90,223690 D93: Data 223.69,223.69,,0,,88.5Hz,88.5,23,NN,FM,5,
91,223710 D94: Data 223.71,223.71,,0,,88.5Hz,88.5,23,NN,FM,5,
92,223730 D95: Data 223.73,223.73,,0,,88.5Hz,88.5,23,NN,FM,5,
93,223750 D96: Data 223.75,223.75,,0,,88.5Hz,88.5,23,NN,FM,5,
94,223580 D97: Data 223.580,223.58,,0,,88.5Hz,88.5,23,NN,FM,5,
