n,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Skip,Step,Clock Shift,Tx Power,Tx Narrow,Pager Enable,Comment
37,441.0750,446.0750,5.0000 MHz,Plus,Auto,U52KRK,Y,Tone,103.5,,Scan,Auto,N,High,N,N,Kirkland UHF; K7LWH Kirkland
38,440.6750,445.6750,5.0000 MHz,Plus,Auto,U53RED,Y,Tone,103.5,,Scan,Auto,N,High,N,N,Redmond UHF; N6OBY Redmond
39,440.1500,445.1500,5.0000 MHz,Plus,Auto,U54MER,Y,Tone,103.5,,Scan,Auto,N,High,Y,N,Mercer Is UHF; W7MIR Mercer Is
40,441.1000,446.1000,5.0000 MHz,Plus,Auto,U55BEL,Y,Tone,156.7,,Scan,Auto,N,High,N,N,Bellevue; K7BEL Bellevue
41,440.2500,445.2500,5.0000 MHz,Plus,Auto,U56SAM,Y,Tone,123.0,,Scan,Auto,N,High,N,N,ESFR UHF; N7ERP Cougar Mt
42,441.8250,446.8250,5.0000 MHz,Plus,Auto,U57SQV,Y,Tone,103.5,,Scan,Auto,N,High,N,N,Snoq Valley UHF; KE7GFZ Cougar Mt
43,444.9250,449.9250,5.0000 MHz,Plus,Auto,U58SNQ,Y,Tone,85.4,,Scan,Auto,N,High,Y,N,Snoqualmie UHF; N7SNO Snoqualmie
44,443.7000,448.7000,5.0000 MHz,Plus,Auto,U59DES,Y,Tone,123.0,,Scan,Auto,N,High,N,N,Des Moines; WA7DES Des Moines
45,441.9750,446.9750,5.0000 MHz,Plus,Auto,U60RNT,Y,Tone,103.5,,Scan,Auto,N,High,N,N,Renton; K7FDF Renton
46,443.1000,448.1000,5.0000 MHz,Plus,Auto,U61HLN,Y,Tone,103.5,,Scan,Auto,N,High,N,N,Highline ARC UHF; WA7ST Seatac
47,444.7750,449.7750,5.0000 MHz,Plus,Auto,U62KDS,Y,Tone,173.8,,Scan,Auto,N,High,N,N,Bellevue Alternate; KI7DS Bellevue
48,442.9500,447.9500,5.0000 MHz,Plus,Auto,U63FED,Y,Tone,103.5,,Scan,Auto,N,High,N,N,Federal Way UHF; WA7FW Federal Way
49,443.5000,448.5000,5.0000 MHz,Plus,Auto,U64VSH,Y,Tone,103.5,,Scan,Auto,N,High,N,N,Vashon/Maury Is; W7VMI Vashon Is
50,441.1250,446.1250,5.0000 MHz,Plus,Auto,U65BUR,Y,Tone,103.5,,Scan,Auto,N,High,N,N,Burien; W7BUR Burien
51,442.8250,447.8250,5.0000 MHz,Plus,Auto,U66SL2,Y,Tone,103.5,,Scan,Auto,N,High,N,N,Shoreline UHF Alternate; W7AUX Shoreline; in-city preferred
52,442.0000,447.0000,5.0000 MHz,Plus,Auto,U67NSE,Y,Tone,141.3,,Scan,Auto,N,High,N,N,"Northshore, Kenmore, LFP; NE7MC Kenmore"
53,443.7250,448.7250,5.0000 MHz,Plus,Auto,U71SMT,Y,Tone,156.7,,Scan,Auto,N,High,Y,N,Snohomish Co Mntlk Ter; WA7DEM Mountlake Terrace;  PRIMARY for Northshore RACES - Northshore Emergency Management Coalition NEMCo Lake Forest Park & Kenmore
54,444.4750,449.4750,5.0000 MHz,Plus,Auto,U72BAI,Y,Tone,103.5,,Scan,Auto,N,High,Y,N,Bainbridge Is; W7NPC Bainbridge Is
55,441.7750,446.7750,5.0000 MHz,Plus,Auto,U81PER,Y,Tone,103.5,,Scan,Auto,N,High,N,N,PSE Rattlesnake; W7PSE Network
56,441.7000,446.7000,5.0000 MHz,Plus,Auto,U82PEB,Y,Tone,103.5,,Scan,Auto,N,High,N,N,PSE Baldi; W7PSE Network
57,441.7500,446.7500,5.0000 MHz,Plus,Auto,U83PEG,Y,Tone,103.5,,Scan,Auto,N,High,N,N,PSE Green Mt; W7PSE Network
