n,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Skip,Step,Clock Shift,Tx Power,Tx Narrow,Pager Enable,Comment
47,223.880,222.280,1.6000 MHz,Minus,Auto,W7PIG,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Camano Island, WA"
48,441.050,446.050,5.0000 MHz,Plus,Auto,W7PIG,Y,Tone,127.3,,Scan,Auto,N,High,N,N,"Camano Island, WA"
49,223.960,222.360,1.6000 MHz,Minus,Auto,WA7TBP,Y,Tone,123,,Scan,Auto,N,High,N,N,"Carnation, WA"
50,224.020,222.420,1.6000 MHz,Minus,Auto,W7AUX,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Shoreline, WA"
51,440.300,445.300,5.0000 MHz,Plus,Auto,W7AUX,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Shoreline, WA"
52,442.825,447.825,5.0000 MHz,Plus,Auto,W7AUX,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Shoreline, WA"
53,927.638,902.638,25.0000 MHz,Minus,Auto,W7AUX,Y,Tone,114.8,,Scan,Auto,N,High,N,N,"Shoreline, WA"
54,444.450,449.450,5.0000 MHz,Plus,Auto,K7CH,Y,Tone,100,,Scan,Auto,N,High,N,N,"Baw Faw Peak, WA"
55,146.820,146.220,600 kHz,Minus,Auto,K7LED,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Tiger Mtn East, WA"
56,224.120,222.520,1.6000 MHz,Minus,Auto,K7LED,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Tiger Mtn East, WA"
57,53.290,51.590,1.7000 MHz,Minus,Auto,W7AW,Y,Tone,100,,Scan,Auto,N,High,N,N,West Seattle
58,145.130,144.530,600 kHz,Minus,Auto,W7AW,Y,Tone,103.5,,Scan,Auto,N,High,N,N,14858;West Seattle
59,441.800,446.800,5.0000 MHz,Plus,Auto,W7AW,Y,Tone,141.3,,Scan,Auto,N,High,N,N,West Seattle
60,145.190,144.590,600 kHz,Minus,Auto,N7GDE,Y,Tone,127.3,,Scan,Auto,N,High,N,N,"Lyman Mtn, WA"
61,146.720,146.120,600 kHz,Minus,Auto,N7SK,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Shelton, WA"
62,443.250,448.250,5.0000 MHz,Plus,Auto,N7SK,Y,Tone,100,,Scan,Auto,N,High,N,N,"Shelton, WA"
63,927.413,902.413,25.0000 MHz,Minus,Auto,N7SK,Y,Tone,114.8,,Scan,Auto,N,High,N,N,"Shelton, WA"
64,147.180,147.780,600 kHz,Plus,Auto,WA7LAW,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Everett, WA"
65,444.575,449.575,5.0000 MHz,Plus,Auto,WA7LAW,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Everett, WA"
66,147.280,147.880,600 kHz,Plus,Auto,K7PP,Y,Tone,123,,Scan,Auto,N,High,N,N,"Mt Octopus, WA"
67,441.200,446.200,5.0000 MHz,Plus,Auto,K7PP,Y,Tone,123,,Scan,Auto,N,High,N,N,"Gold Mtn, WA"
68,441.300,446.300,5.0000 MHz,Plus,Auto,K7PP,Y,Tone,123,,Scan,Auto,N,High,N,N,"Ko Peak, WA"
69,443.400,448.400,5.0000 MHz,Plus,Auto,K7PP,Y,Tone,123,,Scan,Auto,N,High,N,N,"Cougar Mtn, WA"
70,441.175,446.175,5.0000 MHz,Plus,Auto,KC7Z,Y,Tone,103.5,,Scan,Auto,N,High,Y,N,"Gold Mtn, WA"
71,147.320,147.920,600 kHz,Plus,Auto,WA7MV,Y,Tone,100.0,,Scan,Auto,N,High,N,N,206;Tunk Mtn.
72,146.720,146.120,600 kHz,Minus,Auto,WA7MV,Y,Tone,100.0,,Scan,Auto,N,High,N,N,400;Benson Creek
73,444.800,449.800,5.0000 MHz,Plus,Auto,WA7MV,Y,Tone,110.9,,Scan,Auto,N,High,N,N,646;Winthrop
74,145.490,144.890,600 kHz,Minus,Auto,K7LWH,Y,Tone,103.5,,Scan,Auto,N,High,N,N,Kirkland
75,224.360,222.760,1.6000 MHz,Minus,Auto,K7LWH,Y,Tone,103.5,,Scan,Auto,N,High,N,N,5326;Kirkland
76,441.075,446.075,5.0000 MHz,Plus,Auto,K7LWH,Y,Tone,103.5,,Scan,Auto,N,High,N,N,162;Kirkland
78,53.170,51.470,1.7000 MHz,Minus,Auto,K7LWH,Y,Tone,100,,Scan,Auto,N,High,N,N,165;Kirkland
79,146.880,146.280,600 kHz,Minus,Auto,WR7VHF,Y,Tone,123.0,,Scan,Auto,N,High,N,N,283;Spokane
80,147.340,147.940,600 kHz,Plus,Auto,WR7VHF,Y,Tone,123.0,,Scan,Auto,N,High,N,N,290;Spokane
81,444.600,449.600,5.0000 MHz,Plus,Auto,WR7VHF,Y,Tone,123.0,,Scan,Auto,N,High,N,N,17283;Spokane
82,145.490,144.890,600 kHz,Minus,Auto,K7JEP,Y,Tone,136.5,,Scan,Auto,N,High,N,N,"43;Hoodoo Mtn, ID"
83,444.550,449.550,5.0000 MHz,Plus,Auto,K7JEP,Y,None,,,Scan,Auto,N,High,N,N,"23257;Blanchard, ID"
84,147.000,147.600,600 kHz,Plus,Auto,K7RHT,Y,Tone,131.8,,Scan,Auto,N,High,N,N,17116;Table Mtn.
85,444.450,449.450,5.0000 MHz,Plus,Auto,K7RHT,Y,Tone,131.8,,Scan,Auto,N,High,N,N,17115;Table Mtn.
86,147.240,147.840,600 kHz,Plus,Auto,KC7VQR,Y,Tone,192.8,,Scan,Auto,N,High,N,N,181;Yakima Canyon
87,440.325,445.325,5.0000 MHz,Plus,Auto,W6TQF,Y,Tone,100.0,,Scan,Auto,N,High,N,N,"18543;Augspurger Mtn, WA"
88,145.250,144.650,600 kHz,Minus,Auto,KB7APU,Y,Tone,186.2,,Scan,Auto,N,High,N,N,16535;Red Mountain
89,145.350,144.750,600 kHz,Minus,Auto,N7MHE,Y,Tone,100.0,,Scan,Auto,N,High,N,N,"390;Saddle Mtn, WA"
90,224.940,223.340,1.6000 MHz,Minus,Auto,K7SWI,Y,Tone,100.0,,Scan,Auto,N,High,N,N,"21198;Squaw Butte, ID"
91,444.375,449.375,5.0000 MHz,Plus,Auto,K7SWI,Y,Tone,100.0,,Scan,Auto,N,High,N,N,"21386;Squaw Butte, ID"
92,146.740,146.140,600 kHz,Minus,Auto,N7UBO,Y,Tone,100.0,,Scan,Auto,N,High,N,N,"19067;Squaw Butte, ID"
93,146.920,146.320,600 kHz,Minus,Auto,KI7PWR,Y,Tone,100.0,,Scan,Auto,N,High,N,N,"21717;Hat Butte, ID"
94,442.000,447.000,5.0000 MHz,Plus,Auto,NE7MC,Y,Tone,141.3,,Scan,Auto,N,High,N,N,19962;Kenmore
95,145.170,144.570,600 kHz,Minus,Auto,NM7E,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Belfair, WA"
96,224.260,222.660,1.6000 MHz,Minus,Auto,NM7E,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Belfair, WA"
97,440.525,445.525,5.0000 MHz,Plus,Auto,W7ACS,Y,Tone,141.3,,Scan,Auto,N,High,N,N,Seattle
98,440.600,445.600,5.0000 MHz,Plus,Auto,W7ACS,Y,Tone,141.3,,Scan,Auto,N,High,N,N,Lake Forest Park
99,442.300,447.300,5.0000 MHz,Plus,Auto,W7ACS,Y,Tone,141.3,,Scan,Auto,N,High,N,N,Seattle
100,442.875,447.875,5.0000 MHz,Plus,Auto,W7ACS,Y,Tone,141.3,,Scan,Auto,N,High,N,N,Seattle
101,443.025,448.025,5.0000 MHz,Plus,Auto,W7ACS,Y,Tone,141.3,,Scan,Auto,N,High,N,N,Seattle
102,443.200,448.200,5.0000 MHz,Plus,Auto,W7ACS,Y,Tone,141.3,,Scan,Auto,N,High,N,N,White Center
103,443.475,448.475,5.0000 MHz,Plus,Auto,W7ACS,Y,Tone,141.3,,Scan,Auto,N,High,N,N,Seattle
104,443.650,448.650,5.0000 MHz,Plus,Auto,W7ACS,Y,Tone,141.3,,Scan,Auto,N,High,N,N,North Seattle
105,444.550,449.550,5.0000 MHz,Plus,Auto,W7ACS,Y,Tone,141.3,,Scan,Auto,N,High,N,N,Seattle
106,145.275,144.675,600 kHz,Minus,Auto,KK7DFL,Y,Tone,100,,Scan,Auto,N,High,Y,N,23719;Olympia
107,145.210,144.610,600 kHz,Minus,Auto,W7DK,Y,Tone,141.3,,Scan,Auto,N,High,N,N,324;Tacoma
108,147.280,147.880,600 kHz,Plus,Auto,W7DK,Y,Tone,103.5,,Scan,Auto,N,High,N,N,324;Tacoma
109,147.380,147.980,600 kHz,Plus,Auto,W7DK,Y,Tone,103.5,,Scan,Auto,N,High,N,N,325;Crawford Mtn.
