Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
36,U51SLN,440.3000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Shoreline UHF; W7AUX Shoreline; liaison preferred,,,,
37,U52KRK,441.0750,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Kirkland UHF; K7LWH Kirkland,,,,
38,U53RED,440.6750,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Redmond UHF; N6OBY Redmond,,,,
39,U54MER,440.1500,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Mercer Is UHF; W7MIR Mercer Is,,,,
40,U55BEL,441.1000,+,5.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Bellevue; K7BEL Bellevue,,,,
41,U56SAM,440.2500,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,ESFR UHF; N7ERP Cougar Mt,,,,
42,U57SQV,441.8250,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Snoq Valley UHF; KE7GFZ Cougar Mt,,,,
43,U58SNQ,444.9250,+,5.000000,Tone,85.4,85.4,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Snoqualmie UHF; N7SNO Snoqualmie,,,,
44,U59DES,443.7000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Des Moines; WA7DES Des Moines,,,,
45,U60RNT,441.9750,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Renton; K7FDF Renton,,,,
46,U61HLN,443.1000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Highline ARC UHF; WA7ST Seatac,,,,
47,U62KDS,444.7750,+,5.000000,Tone,173.8,173.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Bellevue Alternate; KI7DS Bellevue,,,,
48,U63FED,442.9500,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Federal Way UHF; WA7FW Federal Way,,,,
49,U64VSH,443.5000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Vashon/Maury Is; W7VMI Vashon Is,,,,
50,U65BUR,441.1250,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Burien; W7BUR Burien,,,,
51,U66SL2,442.8250,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Shoreline UHF Alternate; W7AUX Shoreline; in-city preferred,,,,
52,U67NSE,442.0000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Northshore, Kenmore, LFP; NE7MC Kenmore",,,,
53,U71SMT,443.7250,+,5.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Snohomish Co Mntlk Ter; WA7DEM Mountlake Terrace;  PRIMARY for Northshore RACES - Northshore Emergency Management Coalition NEMCo Lake Forest Park & Kenmore,,,,
54,U72BAI,444.4750,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Bainbridge Is; W7NPC Bainbridge Is,,,,
55,U81PER,441.7750,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,PSE Rattlesnake; W7PSE Network,,,,
56,U82PEB,441.7000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,PSE Baldi; W7PSE Network,,,,
57,U83PEG,441.7500,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,PSE Green Mt; W7PSE Network,,,,
58,U84PEA,441.7250,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,PSE Anacortes; W7PSE Network,,,,
59,U85PEY,442.4250,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,PSE Mt Blyn; W7PSE Network,,,,
60,U86PES,443.6250,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,PSE Sumner; W7PSE Network,,,,
61,U87PPC,443.4000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,K7PP Cougar; K7PP Network; CTCSS 151.4,,,,
62,U88PPG,441.2000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,K7PP Gold; K7PP Network,,,,
63,U89PPK,441.3000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,K7PP KO Pk; K7PP Network; CTCSS 151.4,,,,
64,U90TIG,444.6500,+,5.000000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,WA7HJR Tiger; Evergreen Intertie,,,,
65,U91GLD,442.6500,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,WW7RA Gold UHF; wide area,,,,
66,U92BCK,440.9500,+,5.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.0,,5.0W,K7DK Buck Mt; wide area,,,,
67,U93LSQ,444.6000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,K7LWH Lincoln Square; K7LWH Bellevue,,,,
68,U94SLB,440.1000,+,5.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.0,,5.0W,K7SLB Cougar; K7SLB Cougar Mt (formerly Ch 9),,,,
