Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
46,W7PIG,147.360,+,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Camano Island, WA",,,,
47,W7PIG,223.880,-,1.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Camano Island, WA",,,,
48,W7PIG,441.050,+,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Camano Island, WA",,,,
49,WA7TBP,223.960,-,1.600000,Tone,123,123,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Carnation, WA",,,,
50,W7AUX,224.020,-,1.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Shoreline, WA",,,,
51,W7AUX,440.300,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Shoreline, WA",,,,
52,W7AUX,442.825,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Shoreline, WA",,,,
53,W7AUX,927.638,-,25.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Shoreline, WA",,,,
54,K7CH,444.450,+,5.000000,Tone,100,100,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Baw Faw Peak, WA",,,,
55,K7LED,146.820,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Tiger Mtn East, WA",,,,
56,K7LED,224.120,-,1.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Tiger Mtn East, WA",,,,
57,W7AW,53.290,-,1.700000,Tone,100,100,023,NN,023,Tone->Tone,FM,5.0,,5.0W,West Seattle,,,,
58,W7AW,145.130,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,14858;West Seattle,,,,
59,W7AW,441.800,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,West Seattle,,,,
60,N7GDE,145.190,-,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Lyman Mtn, WA",,,,
61,N7SK,146.720,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Shelton, WA",,,,
62,N7SK,443.250,+,5.000000,Tone,100,100,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Shelton, WA",,,,
