COMMUNICATIONS RESOURCE AVAILABILITY WORKSHEET,,,,,,,Frequency Band,,,Description,
,,,,,,,Amateur,,,20230505,
,,,,,,,,,,,
Ch #,"Channel
Configuration",Display Name,Channel/Repeater Name,RX Freq,"N/W
L/C/U","Rx Tone,
CC/TS/TG",TX Freq,"N/W
L/C/U","Tx Tone,
CC/TS/TG",Mode,Remarks
Analog Voice — VHF High (2m),,,,,,,,,,,
,Repeater,BWT,BEARS/W Tiger,442.0750,N,CC2,447.0750,N,CC2,D,W7NWS; W Tiger Mt; Seattle DMR
,Repeater,BUC,Buck Mt,440.7625,N,CC2,445.7625,N,CC2,D,Buck Mt; Seattle DMR
,Repeater,SME,Seattle/Metro,441.3250,N,CC1,446.3250,N,CC1,D,K7SLB; Downtown
,Repeater,SCO,Seattle/Cougar Mt,441.2875,N,CC1,446.2875,N,CC1,D,N7ERP; aka Bellevue
,Repeater,SSO,Seattle/South,440.9250,N,CC1,445.9250,N,CC1,D,KF7BJI; Rainier Valley
,Repeater,STI,Seattle/Tiger Mt,442.0250,N,CC1,447.0250,N,CC1,D,W7WWI; aka Issaquah
,Simplex,Sim V01,DMR Simplex 145.79,145.7900,N,CC1/TS1/TG99,145.7900,N,CC1/TS1/TG99,D,DMR simplex
,Simplex,Sim V02,DMR Simplex 145.51,145.5100,N,CC1/TS1/TG99,145.5100,N,CC1/TS1/TG99,D,DMR simplex
,Simplex,Sim U01,DMR Simplex Calling 441.0,441.0000,N,CC1/TS1/TG99,441.0000,N,CC1/TS1/TG99,D,DMR simplex calling
,Simplex,Sim U02,DMR Simplex 446.5,446.5000,N,CC1/TS1/TG99,446.5000,N,CC1/TS1/TG99,D,DMR simplex
,Simplex,Sim U03,DMR Simplex 446.075,446.0750,N,CC1/TS1/TG99,446.0750,N,CC1/TS1/TG99,D,DMR simplex
,Simplex,Sim U04,DMR Simplex 443.45,443.4500,N,CC1/TS1/TG99,443.4500,N,CC1/TS1/TG99,D,DMR simplex
,Simplex,Sim U05,DMR LP Simplex 430.4125,430.4125,N,CC1/TS1/TG99,430.4125,N,CC1/TS1/TG99,D,DMR LP (≤5W) simplex
,Simplex,Sim U06,DMR LP Simplex 439.4125,439.4125,N,CC1/TS1/TG99,439.4125,N,CC1/TS1/TG99,D,DMR LP (≤5W) simplex
,Simplex,Sim U07,DMR LP Simplex 430.425,430.4250,N,CC1/TS1/TG99,430.4250,N,CC1/TS1/TG99,D,DMR LP (≤5W) simplex
,Simplex,Sim U08,DMR LP Simplex 439.425,439.4250,N,CC1/TS1/TG99,439.4250,N,CC1/TS1/TG99,D,DMR LP (≤5W) simplex
,Repeater,Rpt U09R,DMR LP Repeater 430.4375 +9,430.4375,N,TS1/TG3181,439.4375,N,TS1/TG3181,D,DMR LP (≤5W) repeater
,Repeater,Rpt U10R,DMR LP Repeater 430.45 +9,430.4500,N,TS1/TG3181,439.4500,N,TS1/TG3181,D,DMR LP (≤5W) repeater
,Repeater,Rpt U11R,DMR LP Repeater 430.4625 +9,430.4625,N,TS1/TG3181,439.4625,N,TS1/TG3181,D,DMR LP (≤5W) repeater
,Repeater,Rpt U12R,DMR LP Repeater 430.475 +9,430.4750,N,TS1/TG3181,439.4750,N,TS1/TG3181,D,DMR LP (≤5W) repeater
,,,,,,,,,,,
"Continuous tone squelch (CTCSS) should be disabled unless needed to reduce co-channel interference or to block non-voice transmissions. ""CSQ†"" indicates a that a repeater provides an RX Tone. Except where noted, RX Tone is same as TX Tone.",,,,,,,,,,,
"The convention calls for frequency lists to show four digits after the decimal place, followed by either an “N” or a “W”, depending on whether the frequency is narrow or wide band. Mode refers to analog, digital, or mixed mode. “A” indicates analog, ""X"" indicates AX.25 packet, ""S"" indicates D-STAR, ""D"" indicates DMR, ""F"" indicates System Fusion (C4FM), and ""P"" indicates Project 25. The prefix ""M"" indicates analog/digital mixed mode.  All channels are shown as if programmed in a control station, mobile or portable radio. Repeater and base stations must be programmed with the Rx and Tx reversed.",,,,,,,,,,,
ICS 217A Excel (Modified for Seattle ACS),,,,,,,,,,,11/2018
