,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Skip,Step,Clock Shift,Tx Power,Tx Narrow,Pager Enable,Comment,
34,146.9200,146.3200,600 kHz,Minus,FM,V72SGF,Y,Tone,123.0,,Scan, 5 kHz, N, High,N,N,Snohomish Co Granite Falls; WA7DEM Green Mt
35,145.4300,144.8300,600 kHz,Minus,FM,V73KSD,Y,Tone,88.5,,Scan, 5 kHz, N, High,N,N,Kitsap Co Silverdale; KD7WDG Silverdale
36,145.3700,144.7700,600 kHz,Minus,FM,V74PGR,Y,Tone,136.5,,Scan, 5 kHz, N, High,N,N,Pierce Co Grass; W7AAO Grass Mt; WA EMD
37,145.4700,144.8700,600 kHz,Minus,FM,V75PCP,Y,Tone,100.0,,Scan, 5 kHz, N, High,N,N,Pierce Co Cap Pk; K7CPR Capitol Pk; WA EMD
38,147.2200,147.8200,600 kHz,Plus,FM,V76ISL,Y,Tone,127.3,,Scan, 5 kHz, N, High,N,N,Island Co South; W7AVM Clinton
39,145.3900,144.7900,600 kHz,Minus,FM,V77GRH,Y,Tone,118.8,,Scan, 5 kHz, N, High,N,N,Gray's Harbor Co VHF; W7EOC Cosmopolis
40,147.3600,147.9600,600 kHz,Plus,FM,V78KCR,Y,Tone,131.8,,Scan, 5 kHz, N, High,N,N,Kittitas Co; WR7KCR Cle Elum (Sky Meadows)
41,146.6200,146.0200,600 kHz,Minus,FM,V81GLD,Y,Tone,103.5,,Scan, 5 kHz, N, High,N,N,WW7RA Gold VHF; wide area
42,146.4750,147.4750,1.0000 MHz,Plus,FM,V83SLB,Y,Tone,110.9,,Scan, 5 kHz, N, High,N,N,K7SLB Cougar; wide area; note non-standard split
43,147.3600,147.9600,600 kHz,Plus,FM,V84SMP,Y,Tone,141.3,,Scan, 5 kHz, N, High,N,N,WR7KCR Stampede Pass; I-90 travel
44,146.7200,146.1200,600 kHz,Minus,FM,V85EBG,Y,Tone,131.8,,Scan, 5 kHz, N, High,N,N,WR7KCR Ellensburg; I-90 travel
45,146.8400,146.2400,600 kHz,Minus,FM,V86LAR,Y,None,,,Scan, 5 kHz, N, High,N,N,W7LT Larch Mt; I-5 travel; Multnomah Co (OR) ARES
46,444.5500,449.5500,5.0000 MHz,Plus,FM,U01CLM,Y,Tone,141.3,,Scan, 5 kHz, N, High,N,N,Columbia Center; coordination; W7ACS; Allstar 48844
47,444.5500,444.5500,,Simplex,FM,U02CLO,Y,Tone,141.3,,Scan, 5 kHz, N, High,N,N,Columbia Center Output; coordination simplex
48,440.5250,445.5250,5.0000 MHz,Plus,FM,U03BH1,Y,Tone,141.3,,Scan, 5 kHz, N, High,N,N,Beacon Hill 1; tactical; W7ACS; Beacon Tower
49,442.3000,447.3000,5.0000 MHz,Plus,FM,U04BH2,Y,Tone,141.3,,Scan, 5 kHz, N, High,N,N,Beacon Hill 2; tactical; W7ACS; Beacon Tower; Allstar 48832
50,443.0250,448.0250,5.0000 MHz,Plus,FM,U05CH1,Y,Tone,141.3,,Scan, 5 kHz, N, High,N,N,Capitol Hill 1; tactical; W7ACS; Kaiser Permanente
51,442.8750,447.8750,5.0000 MHz,Plus,FM,U06CH2,Y,Tone,141.3,,Scan, 5 kHz, N, High,N,N,Capitol Hill 2; tactical; W7ACS; Capitol Park
52,443.4750,448.4750,5.0000 MHz,Plus,FM,U07MAG,Y,Tone,141.3,,Scan, 5 kHz, N, High,N,N,Magnolia; tactical; W7ACS; Allstar 48836
