Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
37,V76ISL,147.2200,+,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Island Co South; W7AVM Clinton,,,,
38,V77GRH,145.3900,-,0.600000,Tone,118.8,118.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Gray's Harbor Co VHF; W7EOC Cosmopolis,,,,
39,V78KCR,147.3600,+,0.600000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Kittitas Co; WR7KCR Cle Elum (Sky Meadows),,,,
40,V81GLD,146.6200,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,WW7RA Gold VHF; wide area,,,,
41,V83SLB,146.4750,+,1.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.0,,5.0W,K7SLB Cougar; wide area; note non-standard split,,,,
42,V84SMP,147.3600,+,0.600000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,WR7KCR Stampede Pass; I-90 travel,,,,
43,V85EBG,146.7200,-,0.600000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,WR7KCR Ellensburg; I-90 travel,,,,
44,V86LAR,146.8400,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,W7LT Larch Mt; I-5 travel; Multnomah Co (OR) ARES,,,,
45,V87SIS,147.3000,+,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,3 Sisters; 3 Sisters,,,,
46,V88BEL,145.1700,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Belfair; Belfair,,,,
47,U01CLM,444.5500,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Columbia Center; coordination; W7ACS; Allstar 48844,,,,
48,U02CLO,444.5500,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Columbia Center Output; coordination simplex,,,,
49,U03BH1,440.5250,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Beacon Hill 1; tactical; W7ACS; Beacon Tower,,,,
50,U04BH2,442.3000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Beacon Hill 2; tactical; W7ACS; Beacon Tower; Allstar 48832,,,,
51,U05CH1,443.0250,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Capitol Hill 1; tactical; W7ACS; KP Hospital, Allstar 48841",,,,
52,U06CH2,442.8750,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Capitol Hill 2; tactical; W7ACS; Capitol Park, Allstar 48842",,,,
53,U07MAG,443.4750,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Magnolia; tactical; W7ACS; Allstar 48836,,,,
54,U08MPL,443.6500,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Maple Leaf; tactical; W7ACS,,,,
55,U09LFP,440.6000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Lake Forest Park; tactical; W7ACS; Allstar 48834,,,,
56,U10QA1,444.7000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Queen Anne 1; tactical; WW7SEA; Allstar 48847,,,,
57,U11WSE,441.8000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,West Seattle UHF; tactical; W7AW,,,,
58,U12SSC,443.3750,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,South Seattle College; tactical; K7RSD,,,,
59,U13WCR,443.2000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Westcrest; tactical; W7ACS,,,,
60,U14QA2,444.4250,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Queen Anne 2; tactical; WW7SEA; KOMO Tower,,,,
61,U15CH3,444.3750,+,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Capitol Hill 3; tactical; AJ7JA; Madison/Pine,,,,
62,U16CH4,443.5250,+,5.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Capitol Hill 4; tactical; K7SLB; Madison/Pine,,,,
63,U17PR1,440.0000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Portable Repeater 1; ACS portable; W7ACS,,,,
64,U18PR2,443.0000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Portable Repeater 2; ACS portable; W7ACS,,,,
65,U21580,445.8000,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Simplex 445.800; simplex,,,,
66,U22582,445.8250,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Simplex 445.825; simplex,,,,
67,U23585,445.8500,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Simplex 445.850; simplex,,,,
68,U24587,445.8750,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Simplex 445.875; simplex,,,,
69,U25559,445.9000,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Simplex 445.900; simplex,,,,
